"lmer_glht","lmer_glht_adj","lmer_emmeans","lmer_emmeans_adj","lme_glht","lme_glht_adj","lme_emmeans","lme_emmeans_adj"
"AT3G23580",0.000637986670232182,0.00446590669162528,0.00357763037937176,0.0250434126556023,0.000637986456345718,0.00446590519442003,0.00123101611262175,0.00861711278835224
"AT5G08740",0.00171025986463702,0.00798121270163943,0.0070426708827537,0.0328657974528506,0.00171026014524522,0.00798121401114438,0.00279001531552189,0.0130200714724355
"AT3G52930",0.0100106577442556,0.023358201403263,0.0184020414652641,0.0576193327790246,0.0100106587205098,0.0233582036811895,0.0128364482634413,0.0299517126146964
"AT1G17290",0.00847379603677245,0.023358201403263,0.0220972696772564,0.0576193327790246,0.00847379395334169,0.0233582036811895,0.0110775198244175,0.0299517126146964
"AT5G38710",0.0261732380549546,0.0458031665961706,0.0512611978846291,0.0897070962981009,0.0261732327057842,0.0458031572351223,0.030458079431502,0.0533016390051286
"AT4G18440",0.127073427308184,0.161729816574052,0.176148274392915,0.212784097378878,0.127073409250168,0.161729793591123,0.133019260659781,0.169297240839721
"AT2G21940",0.0524839590175461,0.0816417140272939,0.0875384101843044,0.136170860286696,0.0524839496924223,0.0816416995215458,0.0578157321828716,0.089935583395578
"AT2G02010",0.0156352475512778,0.0312704951025555,0.0316796855419609,0.0633593710839217,0.0156352445137653,0.0312704890275306,0.0191080883291522,0.0382161766583044
"AT5G11520",0.298403349995034,0.321357453840806,0.345995403055006,0.372610434059237,0.298403310230666,0.32135741101764,0.303123981101177,0.326441210416652
"AT2G45290",0.57776288946152,0.57776288946152,0.612764572060206,0.612764572060206,0.577762936195569,0.577762936195569,0.580105937749892,0.580105937749892
"AT1G22170",0.114985946063247,0.160980324488546,0.162576553047575,0.212784097378878,0.114985960732614,0.16098034502566,0.120936838103573,0.169297240839721
"AT1G09795",0.00985789857584707,0.023358201403263,0.0246939997624391,0.0576193327790246,0.00985790010781162,0.0233582036811895,0.0126627144751003,0.0299517126146964
"AT2G17630",0.139353764368921,0.162579391763741,0.182386369181896,0.212784097378878,0.139353780798623,0.162579410931727,0.145272486395236,0.169484567461109
"AT1G62960",0.000277499860928065,0.00388499805299292,0.00163653566134041,0.0229114992587658,0.000277499889509425,0.00388499845313195,0.000628013908449024,0.00861711278835224
"log-li.",241.262008492575,241.262008492575,241.262008492575,241.262008492575,241.262008627601,241.262008627601,241.262008627601,241.262008627601
"log-li. (REML)",174.649284202498,174.649284202498,174.649284202498,174.649284202498,174.649284202498,174.649284202498,174.649284202498,174.649284202498
